1	1
2	5
3	7
4	9
5	11
6	13
7	14
8	15
9	16
10	17
11	18
12	19
13	20
14	21
15	23
16	25
17	27
18	29
19	31
20	33
21	35
22	37
23	40
24	41
25	44
26	45
27	46
28	49
29	52
30	53
31	54
32	57
33	60
34	61
35	62
36	65
37	66
38	69
39	71
40	73
41	75
42	77
43	79
44	81
45	83
46	85
47	87
48	88
49	90
50	92
51	94
52	96
53	98
54	100
55	102
56	104
57	105
58	107
59	109
60	111
61	113
62	115
63	117
64	119
65	121
66	122
67	124
68	126
69	128
70	129
71	129
72	130
73	131
74	132
75	133
76	134
77	137
78	138
79	139
80	139
81	140
82	141
83	142
84	143
85	146
86	147
87	150
88	151
89	152
90	153
91	154
92	155
93	156
94	157
95	158
96	159
97	159
98	160
99	161
100	162
101	165
102	168
103	169
104	170
105	171
106	172
107	173
108	174
109	175
110	176
111	177
112	178
113	179
114	179
115	180
116	183
117	184
118	187
119	188
120	189
121	190
122	191
123	192
124	193
125	196
126	197
127	198
128	199
129	200
130	201
131	203
132	205
133	207
134	209
135	211
136	213
137	215
138	217
139	219
140	221
141	223
142	225
143	227
144	229
145	231
146	233
147	235
148	237
149	239
150	241
151	243
152	245
153	247
154	249
155	251
156	253
157	255
158	257
159	258
160	260
161	262
162	264
163	266
164	268
165	270
166	272
167	274
168	276
169	278
170	280
171	282
172	283
173	285
174	287
175	289
176	290
177	292
178	293
179	295
180	297
181	299
182	301
183	303
184	305
185	307
186	309
187	311
188	313
189	315
190	316
191	317
192	319
193	321
194	323
195	325
196	327
197	329
198	330
199	332
200	333
201	335
202	337
203	340
204	341
205	342
206	345
207	347
208	348
209	349
210	352
211	353
212	355
213	356
214	357
215	358
216	358
217	359
218	360
219	361
220	364
221	367
222	368
223	369
224	372
225	374
226	375
227	376
228	378
229	379
230	382
231	383
232	384
233	385
234	386
235	387
236	387
237	388
238	391
239	392
240	393
241	394
242	395
243	396
244	397
245	400
246	401
247	404
248	405
249	406
250	408
251	410
252	411
253	412
254	415
255	416
256	418
257	421
258	422
259	423
260	424
261	427
262	428
263	430
264	433
265	434
266	435
267	438
268	439
269	440
270	441
271	442
272	443
273	443
274	444
275	445
276	446
277	447
278	448
279	449
280	452
281	453
282	454
283	456
284	457
285	460
286	461
287	462
288	464
289	465
290	468
291	469
292	472
293	473
294	474
295	477
296	478
297	479
298	482
299	483
300	486
301	487
302	488
303	489
304	490
305	490
306	491
307	494
308	495
309	496
310	497
311	498
312	499
313	500
314	501
315	503
316	504
317	505
318	506
319	509
320	510
321	511
322	514
323	517
324	518
325	519
326	520
327	521
328	522
329	523
330	524
331	525
332	527
333	528
334	529
335	532
336	533
337	534
338	537
339	539
340	541
341	543
342	545
343	547
344	549
345	550
346	552
347	554
348	556
349	558
350	560
351	562
352	564
353	565
354	567
355	569
356	570
357	572
358	574
359	576
360	578
361	580
362	582
363	584
364	586
365	588
366	590
367	592
368	594
369	596
370	598
371	599
372	601
373	603
374	605
375	607
376	609
377	611
378	613
379	614
380	616
381	618
382	620
383	621
384	623
385	625
386	627
387	629
388	631
389	633
390	635
391	637
392	639
393	641
394	642
395	644
396	646
397	648
398	650
399	652
400	654
401	656
402	658
403	660
404	662
405	664
406	666
407	668
408	670
409	672
410	673
411	675
412	677
413	679
414	681
415	683
416	684
417	686
418	687
419	688
420	690
421	692
422	694
423	696
424	698
425	700
426	701
427	703
428	705
429	707
430	709
431	710
432	712
433	714
434	715
435	717
436	719
437	721
438	723
439	725
440	727
441	729
442	731
443	733
444	735
445	736
446	738
447	740
448	742
449	744
450	746
451	748
452	750
453	752
454	754
455	756
456	758
457	760
458	762
459	764
460	766
461	768
462	770
463	772
464	773
465	774
466	776
467	778
468	780
469	781
470	783
471	785
472	787
473	789
474	791
475	793
476	795
477	796
478	798
479	800
480	802
481	804
482	805
483	807
484	809
485	811
486	813
487	815
488	817
489	819
490	821
491	823
492	825
493	827
494	829
495	831
496	833
497	834
498	836
499	838
500	840
501	842
502	844
503	846
504	848
505	850
506	852
507	854
508	856
509	858
510	860
511	862
512	864
513	866
514	868
515	869
516	871
517	873
518	875
519	877
520	879
521	881
522	882
523	884
524	886
525	888
526	890
527	892
528	894
529	896
530	898
531	900
532	902
533	904
534	906
535	908
536	910
537	912
538	913
539	914
540	914
541	915
542	916
543	917
544	918
545	921
546	922
547	925
548	926
549	927
550	928
551	929
552	930
553	931
554	931
555	932
556	933
557	933
558	934
559	937
560	938
561	941
562	942
563	943
564	944
565	945
566	946
567	947
568	950
569	950
570	951
571	952
572	955
573	956
574	958
575	959
576	960
577	963
578	964
579	966
580	969
581	970
582	971
583	974
584	975
585	976
586	977
587	978
588	979
589	979
590	979
591	980
592	981
593	982
594	983
595	984
596	987
597	988
598	991
599	992
600	993
601	994
602	995
603	996
604	997
605	998
606	998
607	999
608	999
609	1000
610	1003
611	1004
612	1007
613	1008
614	1008
615	1009
616	1010
617	1013
618	1014
619	1015
620	1016
621	1017
622	1018
623	1020
624	1021
625	1024
626	1025
627	1026
628	1028
629	1031
630	1032
631	1033
632	1036
633	1037
634	1040
635	1041
636	1042
637	1043
638	1044
639	1044
640	1045
641	1048
642	1049
643	1050
644	1051
645	1054
646	1057
647	1058
648	1059
649	1062
650	1063
651	1066
652	1067
653	1068
654	1069
655	1070
656	1071
657	1071
658	1072
659	1075
660	1076
661	1076
662	1077
663	1077
664	1078
665	1079
666	1080
667	1083
668	1086
669	1087
670	1088
671	1089
672	1090
673	1091
674	1092
675	1093
676	1093
677	1094
678	1097
679	1098
680	1101
681	1102
682	1102
683	1103
684	1104
685	1105
686	1106
687	1109
688	1110
689	1111
690	1111
691	1112
692	1113
693	1114
694	1115
695	1116
696	1119
697	1120
698	1123
699	1124
700	1127
701	1128
702	1129
703	1130
704	1131
705	1132
706	1133
707	1136
708	1137
709	1138
710	1138
711	1139
712	1140
713	1141
714	1142
715	1143
716	1144
717	1145
718	1148
719	1151
720	1152
721	1153
722	1154
723	1155
724	1156
725	1157
726	1158
727	1160
728	1161
729	1163
730	1164
731	1165
732	1167
733	1170
734	1171
735	1172
736	1175
737	1176
738	1179
739	1180
740	1181
741	1184
742	1187
743	1188
744	1189
745	1192
746	1193
747	1196
748	1197
749	1198
750	1199
751	1199
752	1200
753	1201
754	1202
755	1205
756	1208
757	1209
758	1210
759	1211
760	1212
761	1213
762	1214
763	1217
764	1217
765	1218
766	1219
767	1220
768	1221
769	1221
770	1222
771	1225
772	1226
773	1229
774	1230
775	1231
776	1232
777	1235
778	1235
779	1236
780	1237
781	1238
782	1239
783	1242
784	1243
785	1244
786	1244
787	1245
788	1246
789	1247
790	1248
791	1251
792	1252
793	1255
794	1256
795	1257
796	1258
797	1259
798	1260
799	1261
800	1262
801	1265
802	1268
803	1269
804	1270
805	1271
806	1272
807	1273
808	1274
809	1277
810	1278
811	1279
812	1280
813	1281
814	1282
815	1283
816	1284
817	1286
818	1287
819	1289
820	1290
821	1291
822	1293
823	1296
824	1297
825	1298
826	1301
827	1302
828	1303
829	1304
830	1305
831	1306
832	1307
833	1310
834	1311
835	1312
836	1315
837	1316
838	1317
839	1319
840	1322
841	1323
842	1324
843	1327
844	1328
845	1331
846	1332
847	1333
848	1334
849	1335
850	1338
851	1339
852	1342
853	1343
854	1346
855	1347
856	1348
857	1349
858	1349
859	1350
860	1351
861	1351
862	1352
863	1355
864	1356
865	1359
866	1360
867	1361
868	1361
869	1362
870	1363
871	1364
872	1365
873	1366
874	1367
875	1368
876	1369
877	1372
878	1373
879	1374
880	1376
881	1379
882	1380
883	1381
884	1384
885	1385
886	1386
887	1389
888	1390
889	1393
890	1396
891	1397
892	1398
893	1399
894	1400
895	1401
896	1404
897	1405
898	1408
899	1409
900	1410
901	1411
902	1412
903	1412
904	1412
905	1413
906	1414
907	1417
908	1418
909	1421
910	1422
911	1423
912	1423
913	1424
914	1425
915	1427
916	1429
917	1430
918	1432
919	1434
920	1436
921	1438
922	1440
923	1442
924	1444
925	1446
926	1448
927	1450
928	1452
929	1453
930	1455
931	1457
932	1459
933	1461
934	1463
935	1465
936	1467
937	1469
938	1471
939	1473
940	1475
941	1477
942	1479
943	1481
944	1482
945	1483
946	1485
947	1487
948	1489
949	1491
950	1493
951	1495
952	1497
953	1499
954	1501
955	1503
956	1505
957	1507
958	1509
959	1511
960	1513
961	1515
962	1516
963	1518
964	1520
965	1522
966	1524
967	1525
968	1527
969	1529
970	1530
971	1532
972	1534
973	1536
974	1538
975	1540
976	1542
977	1544
978	1546
979	1548
980	1550
981	1552
982	1554
983	1555
984	1557
985	1559
986	1561
987	1563
